,s,a,r,s1
190,[-0.5313323  -0.00096329],[0.27296537],-0.007451009409749432,[-5.3182817e-01 -4.9584324e-04]
191,[-5.3182817e-01 -4.9584324e-04],[0.1300478],-0.001691242980541574,[-5.3206724e-01 -2.3905739e-04]
192,[-5.3206724e-01 -2.3905739e-04],[0.76791894],-0.05896995051051732,[-0.5310909   0.00097633]
193,[-0.5310909   0.00097633],[-0.89702505],-0.08046539380540062,[-5.3140396e-01 -3.1302357e-04]
194,[-5.3140396e-01 -3.1302357e-04],[-0.34522805],-0.011918240386844393,[-0.5321763  -0.00077233]
195,[-0.5321763  -0.00077233],[-0.47693506],-0.02274670503432441,[-0.53359973 -0.00142341]
196,[-0.53359973 -0.00142341],[0.5300558],-0.028095917331441813,[-0.53415304 -0.00055333]
197,[-0.53415304 -0.00055333],[-0.38795903],-0.01505122114809021,[-0.5352092  -0.00105613]
198,[-0.5352092  -0.00105613],[-0.2515131],-0.006325883630754792,[-0.5365555  -0.00134633]
199,[-0.5365555  -0.00134633],[-0.55686814],-0.031010212081315915,[-0.53864    -0.00208449]
200,[-0.53864    -0.00208449],[0.973544],-0.09477879230110063,[-0.56386775  0.00177481]
201,[-0.56386775  0.00177481],[-0.00805235],-6.484040086986946e-06,[-0.56180376  0.00206401]
202,[-0.56180376  0.00206401],[-0.04127714],-0.00017038020103250646,[-0.5595158   0.00228801]
203,[-0.5595158   0.00228801],[0.3092429],-0.009563117378954544,[-0.5564951   0.00302073]
204,[-0.5564951   0.00302073],[0.441287],-0.019473422599622925,[-0.5525661   0.00392898]
205,[-0.5525661   0.00392898],[0.19553211],-0.0038232807336911812,[-0.5481269   0.00443926]
206,[-0.5481269   0.00443926],[-0.09735677],-0.0009478339975999895,[-0.54364985  0.00447702]
207,[-0.54364985  0.00447702],[0.30361775],-0.00921837354662367,[-0.5385671   0.00508274]
208,[-0.5385671   0.00508274],[0.92905164],-0.0863136945419285,[-0.5319786   0.00658854]
209,[-0.5319786   0.00658854],[0.71320504],-0.050866142836989425,[-0.5242574   0.00772119]
210,[-0.5242574   0.00772119],[-0.6095821],-0.03715903685100876,[-0.5174457   0.00681176]
211,[-0.5174457   0.00681176],[-0.5191277],-0.026949359647802852,[-0.51145875  0.00598692]
212,[-0.51145875  0.00598692],[-0.80981815],-0.06558054338229483,[-0.5067776   0.00468117]
213,[-0.5067776   0.00468117],[0.64101017],-0.04108940319083701,[-0.501261    0.00551658]
214,[-0.501261    0.00551658],[0.14408152],-0.0020759483844747574,[-0.4956957   0.00556529]
215,[-0.4956957   0.00556529],[-0.49128675],-0.024136267525341284,[-0.49107638  0.00461933]
216,[-0.49107638  0.00461933],[-0.71201646],-0.05069674439813668,[-0.4877686   0.00330777]
