,s,a,r,s1
336,[-0.00084365 -0.18223043  0.01151603  0.27235633],1,1.0,[-0.00448826  0.01272533  0.01696315 -0.01667226]
337,[-0.00448826  0.01272533  0.01696315 -0.01667226],0,1.0,[-0.00423375 -0.18263574  0.01662971  0.2813141 ]
338,[-0.00423375 -0.18263574  0.01662971  0.2813141 ],1,1.0,[-0.00788647  0.01224511  0.02225599 -0.00607783]
339,[-0.00788647  0.01224511  0.02225599 -0.00607783],0,1.0,[-0.00764157 -0.18318884  0.02213443  0.29354322]
340,[-0.00764157 -0.18318884  0.02213443  0.29354322],1,1.0,[-0.0181418   0.15125138  0.00347796 -0.32409585]
341,[-0.0181418   0.15125138  0.00347796 -0.32409585],0,1.0,[-0.01511677 -0.04391993 -0.00300395 -0.03031813]
342,[-0.01511677 -0.04391993 -0.00300395 -0.03031813],0,1.0,[-0.01599517 -0.23899867 -0.00361032  0.2614155 ]
343,[-0.01599517 -0.23899867 -0.00361032  0.2614155 ],0,1.0,[-0.02077514 -0.4340689   0.00161799  0.55295753]
344,[-0.02077514 -0.4340689   0.00161799  0.55295753],1,1.0,[-0.02945652 -0.23896971  0.01267714  0.2607848 ]
345,[-0.02945652 -0.23896971  0.01267714  0.2607848 ],0,1.0,[-0.04866299 -0.22895977 -0.04019958  0.2602753 ]
346,[-0.04866299 -0.22895977 -0.04019958  0.2602753 ],1,1.0,[-0.05324218 -0.0332877  -0.03499407 -0.04481117]
347,[-0.05324218 -0.0332877  -0.03499407 -0.04481117],1,1.0,[-0.05390794  0.16231811 -0.0358903  -0.3483264 ]
348,[-0.05390794  0.16231811 -0.0358903  -0.3483264 ],0,1.0,[-0.05066158 -0.03227547 -0.04285682 -0.0671735 ]
349,[-0.05066158 -0.03227547 -0.04285682 -0.0671735 ],0,1.0,[-0.05130709 -0.22675762 -0.04420029  0.21168579]
350,[-0.05130709 -0.22675762 -0.04420029  0.21168579],0,1.0,[-0.04027287 -0.14781642  0.03395756  0.34304237]
351,[-0.04027287 -0.14781642  0.03395756  0.34304237],1,1.0,[-0.04322919  0.04680639  0.04081841  0.06125806]
352,[-0.04322919  0.04680639  0.04081841  0.06125806],0,1.0,[-0.04229306 -0.14887631  0.04204357  0.3665349 ]
353,[-0.04229306 -0.14887631  0.04204357  0.3665349 ],1,1.0,[-0.04527059  0.04562375  0.04937427  0.0873998 ]
354,[-0.04527059  0.04562375  0.04937427  0.0873998 ],1,1.0,[-0.04435812  0.24000446  0.05112226 -0.18930583]
355,[-0.04435812  0.24000446  0.05112226 -0.18930583],0,1.0,[-0.02777021 -0.22531377 -0.00498907  0.30183458]
