,s,a,r,s1
191,[-0.48009586  0.87721604  1.2174188 ],[1.5883299],-4.442095740705466,[-0.5699484   0.82168055  2.1135802 ]
192,[-0.5699484   0.82168055  2.1135802 ],[-0.16611005],-5.187120800129003,[-0.67553437  0.73732847  2.704924  ]
193,[-0.67553437  0.73732847  2.704924  ],[1.6965233],-6.082128963403948,[-0.79396856  0.6079588   3.512399  ]
194,[-0.79396856  0.6079588   3.512399  ],[-1.1160765],-7.42560917156234,[-0.8945203  0.4470273  3.8009567]
195,[-0.8945203  0.4470273  3.8009567],[-0.7244988],-8.617757184401153,[-0.9658579   0.25907245  4.027552  ]
196,[-0.9658579   0.25907245  4.027552  ],[-0.00398191],-9.913816111746359,[-0.99869984  0.05097666  4.221259  ]
197,[-0.99869984  0.05097666  4.221259  ],[-1.1332424],-11.334957880957983,[-0.9882456 -0.1528747  4.0895057]
198,[-0.9882456 -0.1528747  4.0895057],[0.57670754],-10.601576174207977,[-0.9371086  -0.34903795  4.0613556 ]
199,[-0.9371086  -0.34903795  4.0613556 ],[0.88249195],-9.406734093810858,[-0.8508781  -0.52536315  3.9319508 ]
200,[-0.8508781  -0.52536315  3.9319508 ],[0.5086948],-0.16277313575610686,[ 0.96888876  0.24749652 -0.6279166 ]
201,[ 0.96888876  0.24749652 -0.6279166 ],[1.967029],-0.10584489414639973,[ 0.9706846   0.24035692 -0.14723983]
202,[ 0.9706846   0.24035692 -0.14723983],[-0.39763236],-0.06124563529520421,[ 0.9710036   0.23906487 -0.026617  ]
203,[ 0.9710036   0.23906487 -0.026617  ],[0.66673887],-0.05879064153906223,[0.9679057  0.25131372 0.2526925 ]
204,[0.9679057  0.25131372 0.2526925 ],[-0.4281207],-0.07110358890304933,[0.9629973  0.26951107 0.37695968]
205,[0.9629973  0.26951107 0.37695968],[-0.8688448],-0.08943113179653661,[0.956708   0.29104945 0.44876626]
206,[0.956708   0.29104945 0.44876626],[-1.7775978],-0.11051499972207941,[0.9506897 0.3101438 0.4004137]
207,[0.9506897 0.3101438 0.4004137],[1.1470438],-0.11679084080687532,[0.93743837 0.3481512  0.8050781 ]
208,[0.93743837 0.3481512  0.8050781 ],[-0.08329217],-0.19127208848782545,[0.9178038 0.3970341 1.0536977]
209,[0.9178038 0.3970341 1.0536977],[-0.30481747],-0.2778158648353311,[0.8899455  0.45606685 1.3057506 ]
210,[0.8899455  0.45606685 1.3057506 ],[1.4949344],-0.39700242620786397,[0.8434233  0.53724957 1.872041  ]
211,[0.8434233  0.53724957 1.872041  ],[-1.9192985],-0.6758222563420515,[0.7859737 0.6182599 1.9870833]
